# Wire 1 (index 0)
# X    Y
  1000    0
  1000    564
  248    564
  248    115
  1031    115
  1031    -823
  925    -823
  925    -693
  1377    -693
  1377    -231
  2238    -231
  2238    423
  1706    423
  1706    -62
  2467    -62
  2467    274
  1819    274
  1819    945
  1201    945
  1201    1374
  1323    1374
  1323    1191
  928    1191
  928    1853
  1828    1853
  1828    2497
  1660    2497
  1660    1719
  1392    1719
  1392    2615
  701    2615
  701    1763
  -286    1763
  -286    2225
  60    2225
  60    2328
  748    2328
  748    3254
  1122    3254
  1122    2711
  1810    2711
  1810    2029
  2802    2029
  2802    1889
  2423    1889
  2423    1644
  2000    1644
  2000    1140
  2957    1140
  2957    2077
  2890    2077
  2890    1517
  1928    1517
  1928    1792
  2616    1792
  2616    1175
  1838    1175
  1838    1756
  2510    1756
  2510    1354
  2513    1354
  2513    1605
  3106    1605
  3106    2502
  2240    2502
  2240    2691
  2232    2691
  2232    2686
  2993    2686
  2993    3232
  3587    3232
  3587    2352
  3269    2352
  3269    2762
  2944    2762
  2944    3326
  2055    3326
  2055    4014
  1583    4014
  1583    3868
  1900    3868
  1900    3554
  1671    3554
  1671    3813
  2120    3813
  2120    3183
  1689    3183
  1689    3187
  2017    3187
  2017    2460
  2315    2460
  2315    1902
  2396    1902
  2396    1394
  2236    1394
  2236    1507
  1242    1507
  1242    1770
  1049    1770
  1049    1139
  1930    1139
  1930    531
  1006    531
  1006    978
  1237    978
  1237    1863
  1080    1863
  1080    1124
  1736    1124
  1736    1003
  2440    1003
  2440    1440
  1730    1440
  1730    1233
  1880    1233
  1880    1639
  2696    1639
  2696    2322
  3192    2322
  3192    1607
  2293    1607
  2293    2364
  1714    2364
  1714    1680
  1629    1680
  1629    1326
  1827    1326
  1827    915
  2645    915
  2645    1687
  1735    1687
  1735    2180
  1773    2180
  1773    2050
  818    2050
  818    2791
  1562    2791
  1562    2567
  1077    2567
  1077    2768
  174    2768
  174    1864
  922    1864
  922    2152
  956    2152
  956    2825
  1459    2825
  1459    1894
  1269    1894
  1269    2441
  1186    2441
  1186    2100
  1645    2100
  1645    2214
  887    2214
  887    2434
  381    2434
  381    2878
  -91    2878
  -91    1937
  -159    1937
  -159    1027
  256    1027
  256    1695
  -701    1695
  -701    2404
  116    2404
  116    2520
  815    2520
  815    2096
  1363    2096
  1363    1811
  1710    1811
  1710    2207
  2501    2207
  2501    2269
  1716    2269
  1716    1909
  1088    1909
  1088    2324
  520    2324
  520    1895
  674    1895
  674    1055
  -191    1055
  -191    1236
  -297    1236
  -297    672
  -749    672
  -749    828
  -1716    828
  -1716    407
  -1675    407
  -1675    907
  -1991    907
  -1991    160
  -1406    160
  -1406    -698
  -2215    -698
  -2215    -296
  -2699    -296
  -2699    456
  -2380    456
  -2380    -107
  -2107    -107
  -2107    -23
  -2054    -23
  -2054    851
  -2903    851
  -2903    941
  -2709    941
  -2709    -28
  -1802    -28
  -1802    -653
  -2100    -653
  -2100    -1637
  -1356    -1637
  -1356    -1465
  -819    -1465
  -819    -1642
  -833    -1642
  -833    -2563
  -989    -2563
  -989    -2430
  -560    -2430
  -560    -3217
  128    -3217
  128    -2323
  -26    -2323
  -26    -2131
  637    -2131
  637    -2356
  -144    -2356
  -144    -1930
  479    -1930
  479    -1990
  -244    -1990
  -244    -2985
  570    -2985
  570    -3180
  -381    -3180
  -381    -3774
  613    -3774
  613    -4317
  -280    -4317
  -280    -3536
  619    -3536
  619    -3451
  889    -3451
  889    -3148
  1145    -3148
  1145    -2171
  2039    -2171
  2039    -1223
  2309    -1223
  2309    -1524
  1435    -1524
  1435    -1912
  1725    -1912
  1725    -926
  1065    -926
  1065    -1667
  1040    -1667
  1040    -1286
  1854    -1286
  1854    -1436
  2432    -1436
  2432    -1965
  2982    -1965
  2982    -2141
  3203    -2141
  3203    -2794
  3732    -2794
  3732    -2711
  4083    -2711
  4083    -3173
  4575    -3173
  4575    -2835
  5186    -2835
  5186    -2840
  5049    -2840
  5049    -3387
  5354    -3387
  5354    -3031
  5437    -3031
  5437    -3911
  5959    -3911
  5959    -3230
  6312    -3230
  6312    -3284
  7222    -3284
  7222    -2510
  6760    -2510
  6760    -2462
  6249    -2462
  6249    -1712
  6347    -1712
  6347    -1257
  6932    -1257
  6932    -1836
  6338    -1836


# Wire 2 (index 1)
# X    Y
  -1003    0
  -1003    936
  -157    936
  -157    1485
  -981    1485
  -981    801
  -37    801
  -37    1703
  140    1703
  140    2578
  -285    2578
  -285    3209
  -586    3209
  -586    3724
  -1376    3724
  -1376    3491
  -1327    3491
  -1327    3899
  -1511    3899
  -1511    3796
  -818    3796
  -818    3489
  -1375    3489
  -1375    2718
  -1857    2718
  -1857    2216
  -1098    2216
  -1098    1826
  -1476    1826
  -1476    2808
  -1906    2808
  -1906    3145
  -2876    3145
  -2876    3545
  -2047    3545
  -2047    3757
  -2139    3757
  -2139    3087
  -1398    3087
  -1398    2521
  -2195    2521
  -2195    2998
  -2572    2998
  -2572    3835
  -2553    3835
  -2553    4684
  -2574    4684
  -2574    3814
  -2756    3814
  -2756    4228
  -3342    4228
  -3342    4996
  -3979    4996
  -3979    5131
  -2982    5131
  -2982    5536
  -3313    5536
  -3313    5280
  -3335    5280
  -3335    5234
  -3839    5234
  -3839    4574
  -4596    4574
  -4596    5250
  -4956    5250
  -4956    4751
  -4776    4751
  -4776    4028
  -5012    4028
  -5012    4106
  -4794    4106
  -4794    4629
  -4865    4629
  -4865    4569
  -5350    4569
  -5350    5072
  -5702    5072
  -5702    4103
  -4955    4103
  -4955    4934
  -5240    4934
  -5240    4075
  -5485    4075
  -5485    3558
  -5625    3558
  -5625    4021
  -6520    4021
  -6520    4305
  -7066    4305
  -7066    4647
  -6717    4647
  -6717    4209
  -5901    4209
  -5901    4230
  -6089    4230
  -6089    4712
  -6776    4712
  -6776    3809
  -7010    3809
  -7010    3824
  -7768    3824
  -7768    3530
  -6979    3530
  -6979    3086
  -7477    3086
  -7477    2650
  -7717    2650
  -7717    1694
  -8383    1694
  -8383    2380
  -7405    2380
  -7405    1553
  -6486    1553
  -6486    1661
  -5511    1661
  -5511    1626
  -5036    1626
  -5036    1685
  -5410    1685
  -5410    1709
  -5436    1709
  -5436    1212
  -4982    1212
  -4982    824
  -4802    824
  -4802    263
  -4722    263
  -4722    -170
  -4283    -170
  -4283    -988
  -3321    -988
  -3321    -1900
  -3074    -1900
  -3074    -928
  -2126    -928
  -2126    -1735
  -1259    -1735
  -1259    -2681
  -534    -2681
  -534    -2286
  172    -2286
  172    -2099
  155    -2099
  155    -1767
  -707    -1767
  -707    -2427
  -777    -2427
  -777    -1819
  -554    -1819
  -554    -2325
  38    -2325
  38    -1968
  558    -1968
  558    -2117
  -14    -2117
  -14    -2917
  -584    -2917
  -584    -3275
  64    -3275
  64    -3101
  584    -3101
  584    -2948
  -223    -2948
  -223    -2856
  617    -2856
  617    -2296
  -321    -2296
  -321    -2895
  651    -2895
  651    -3434
  1036    -3434
  1036    -3929
  1010    -3929
  1010    -4823
  103    -4823
  103    -4926
  -391    -4926
  -391    -4875
  -1194    -4875
  -1194    -5495
  -1262    -5495
  -1262    -5721
  -315    -5721
  -315    -5511
  549    -5511
  549    -6266
  -132    -6266
  -132    -6786
  -999    -6786
  -999    -7363
  -621    -7363
  -621    -8104
  -712    -8104
  -712    -8398
  -1001    -8398
  -1001    -8929
  -1302    -8929
  -1302    -8291
  -1798    -8291
  -1798    -8208
  -2076    -8208
  -2076    -8535
  -1725    -8535
  -1725    -9232
  -2318    -9232
  -2318    -8901
  -2227    -8901
  -2227    -9868
  -1808    -9868
  -1808    -10195
  -1730    -10195
  -1730    -9891
  -1268    -9891
  -1268    -9893
  -1924    -9893
  -1924    -10593
  -1951    -10593
  -1951    -10622
  -2549    -10622
  -2549    -9881
  -2898    -9881
  -2898    -10838
  -2737    -10838
  -2737    -10150
  -2411    -10150
  -2411    -10948
  -2674    -10948
  -2674    -10903
  -3557    -10903
  -3557    -9921
  -3441    -9921
  -3441    -10756
  -4319    -10756
  -4319    -10503
  -4551    -10503
  -4551    -11235
  -3912    -11235
  -3912    -11643
  -2915    -11643
  -2915    -12510
  -2189    -12510
  -2189    -12768
  -2254    -12768
  -2254    -13368
  -2569    -13368
  -2569    -12585
  -3330    -12585
  -3330    -11979
  -3263    -11979
  -3263    -12928
  -3738    -12928
  -3738    -12386
  -3969    -12386
  -3969    -12107
  -4919    -12107
  -4919    -11458
  -5589    -11458
  -5589    -12328
  -5853    -12328
  -5853    -11370
  -5105    -11370
  -5105    -11735
  -4853    -11735
  -4853    -11864
  -4099    -11864
  -4099    -11837
  -3528    -11837
  -3528    -12527
  -4199    -12527
  -4199    -12384
  -4949    -12384
  -4949    -12081
  -5361    -12081
  -5361    -12057
  -5804    -12057
  -5804    -12607
  -4978    -12607
  -4978    -11908
  -5536    -11908
  -5536    -11365
  -6417    -11365
  -6417    -11569
  -6169    -11569
  -6169    -11761
  -5356    -11761
  -5356    -11445
  -5432    -11445
  -5432    -11523
  -4909    -11523
  -4909    -10807
  -5331    -10807
  -5331    -11600
  -4647    -11600
  -4647    -11775
  -4994    -11775
  -4994    -12241
  -5213    -12241
  -5213    -12381
  -6016    -12381
  -6016    -11948
  -5920    -11948
